,_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_ratingValue,ltable_price_range,ltable_number_of_reviews,rtable_name,rtable_address,rtable_ratingValue,rtable_price_range,rtable_number_of_reviews,gold_labels
1959,1959,3113,1901,pho thaison,2438 W Anderson Ln Austin TX 78757,4.0,$5,499,pho thaison,2438 W Anderson Lane Suite A-3 Austin TX 78757,3.5,$30,12,1
1963,1963,3122,972,sushi boat town,7130 Santa Teresa Blvd San Jose CA 95139,3.5,$20,308,flames coffee shop,7170 Santa Teresa Blvd San Jose CA 95139,3.6,$30,3,0
1967,1967,3123,2026,el papucho mexican food,1745 W San Carlos St San Jose CA 95128,4.0,$5,84,got 2 go pizza,1761 W San Carlos St San Jose CA 95128,3.0,$30,1,0
1970,1970,3133,1455,asia cafe,8650 Spicewood Springs Rd Austin TX 78759,4.0,$5,684,camino real,8650 Spicewood Springs Road Austin TX 78759,3.5,$30,7,0
1980,1980,3140,1204,chef li,2033 Camden Ave San Jose CA 95124,3.0,$20,210,chef li chinese,2033 Camden Avenue San Jose CA 95124,3.6,$13,3,1
1985,1985,3150,1158,pho wagon,1712 Meridian Ave San Jose CA 95125,3.5,$20,387,pho wagon,1712 Meridian Avenue Suite I San Jose CA 95125,3.7,$25,3,1
1987,1987,3160,2962,schooner exact brewing company,3901 1st Ave S Seattle WA 98134,4.5,$20,186,schooner exact brewery and ,3901 1st Avenue South WA 98134,3.4,$75,4,1
1993,1993,3171,2829,margherita nyc,197 Grand St New York NY 10013,4.0,$20,152,banh mi saigon,198 Grand St New York NY 10013,3.9,$15,18,0
1994,1994,3172,1466,dos batos - woodfired tacos,2525 W Anderson Ln Austin TX 78757,4.0,$5,394,tarka indian kitchen,2525 W Anderson Lane Austin TX 78757,3.5,$30,4,0
2004,2004,3185,1842,the hideout coffeehouse,The Hideout Theatre Austin TX 78701,4.0,$5,216,the hideout coffee house,617 Congress Avenue Austin TX 78701,3.4,$25,7,1
2008,2008,3188,2439,pho an,12526 Lake City Way NE Seattle WA 98125,4.5,$5,287,elliott bay brewery & pub,12537 Lake City Way NE Seattle WA 98125,3.6,$30,14,0
2019,2019,3209,686,kefi,505 Columbus Ave New York NY 10024,3.5,$20,1248,kefi,505 Columbus Avenue New York NY 10024,4.3,$50,33,1
2021,2021,3210,1144,delancey,1415 NW 70th St Seattle WA 98117,4.0,$20,438,honore,1413 NW 70th St Seattle WA 98117,4.2,$20,29,0
2026,2026,3223,1898,halal time,1501 E 6th St Austin TX 78702,5.0,$5,42,salt and time,1912 E 7th St Austin TX 78702,3.3,$50,10,0
2028,2028,3227,3109,nollieâs cafe,1165 Harrison St Seattle WA 98109,4.0,$5,167,nollie's cafe,1165 Harrison St Seattle WA 98109,3.4,$20,13,1
